Address,City,State
"I-35, EXIT 86 & SR-85",Dilley,TX
US-287,Dumas,TX
US-59 & SR-16,Freer,TX
"I-70, EXIT 405 & SR-59",Seibert,CO
US-20 & SR-5,Irving,NY
US-20 & SR-5,Irving,NY
"I-40, EXIT 108",Wildersville                            ,TN
"I-235, EXIT 11",Des Moines,IA
"I-15, EXIT 122 & I-90 MM220",Butte                                   ,MT
I-40 EXIT 60,Amarillo,TX
US-385 & CR-1910,Andrews,TX
"I-80 & I-94, EXIT 15-A",Lake Station,IN
"I-40, EXIT 39",Jamestown,NM
"I-70 & SR-519, EXIT 25/333",Eighty Four,PA
"I-81, EXIT 10",Mc Graw,NY
"I-81, EXIT 10",Mc Graw,NY
US-98,Beaumont,MS
"I-5, EXIT 202",Marysville,WA
"I-95, EXIT 57",Baltimore                               ,MD
US-33,Ripley                                  ,WV
"I-65, EXIT 262B",Birmingham                              ,AL
US-380 & SR-114/SR-101,Bridgeport,TX
"I-70 & I-270, EXIT 278",Commerce City,CO
"I-26, EXIT 159",Bowman                                  ,SC
"I-10, EXIT 139 & SR-292",Las Cruces                              ,NM
"I-35, EXIT 144",Von Ormy,TX
"I-94, EXIT 322",Oak Creek,WI
"I-20, EXIT 235",Roscoe,TX
US-6  & US-31,Plymouth,IN
US-41 & SR-312,Hammond,IN
"I-55, EXIT 289",Chicago,IL
"I-55, EXIT 289",Chicago,IL
US-77/US190/SR-36,Cameron,TX
"I-20, EXIT 101 & SR-151",Calhoun,LA
"I-90, EXIT 28",Fultonville,NY
"I-90, EXIT 28",Fultonville,NY
"I-44, EXIT 4 & SR-3",Joplin,MO
"I-95, EXIT 77",Dunn,NC
"I-40,  EXIT 77",Amarillo,TX
US-280/US-231/SR-53/SR-38 & CR-8/CR-34,Sylacauga,AL
US-259/SR-49,Daingerfield,TX
US-54 & S WESTERN AVE,Liberal,KS
US-96 & SR-62/FM-1004,Buna                                    ,TX
"I-35/US-77, EXIT 359 & CR-1304",Abbott,TX
"US-131, EXIT 120 & SR-46",Howard City,MI
"US-131, EXIT 120 & SR-46",Howard City,MI
"US-131, EXIT 120 & SR-46",Howard City,MI
